,text,pred_rating
47,"Galla Face is a total refuge from the chaos that is Columbo. Lovely setting and sunset views, kind and very attentive staff, very good food - breakfast will be an abiding memory of our trip. The hotel is old school elegance and calm. Itâs a big place but never feels frenetic or over busy. You feel slightly like youâre in an episode of Jewel in the Crown - a real experience and we were delighted to top and tail our Sri Lanka trip here.",5
48,"Honestly, not a thing.",5
49,"Liked the always helpful staff. The location was excellentTheir Fine dinning restaurant was superb",5
50,NOISE....late night loud Thump Thump music from lower floor ...which made me angry as on booking I specified a quiet room ..the hotel replied and said for my 3 night stay I would have a quiet room...it wasnât quiet at all. Buffet restaurant needs an overhaul on food selection and presentation.,1
51,Really enjoyed our stay. The amount of food to choose from in the buffet was amazing. Staff very helpful and friendly. Room was good and pool area very nice.,4
52,A room with a balcony would have been nice but overall good,4
53,The hotel was everything i expected. I was there for the Ironman race and i was welcomed the minute i stepped in the door despite turning up with my bike and all my kit. The rooms are great. The hotel is steeped in history and this is reflected in every aspect of the place. I would highly recommend it when you are in Colombo. I fell asleep to the sound of the sea!!,5
54,"nothing, i loved it",5
55,"Location, swimming pool, atmospheric old colonial hotel, with a wonderful museum over the history of the hotel. The sunset, the lowering of the Sri Lankan flag at sunset.",4
56,"It was a very different experience of living in old colonial hotel on the coast of a bustling city of Colombo.  I did not have too much opportunity to explore the city (I only saw if from the window of the car going to work), instead I took the time to explore the hotel itself and it was an adventure.  For those of you who enjoy historical places, this hotel has a lot to offer!  It is worth to talk to the staff members about the history of the place an some slightly quirky rituals that the guests will surely witness :).   Even if the hotel itself is over 150 years old, it offeres all modern facilities.  I greatly appreciated the fact that the rooms are equipped with old-fashioned ceiling fans as well as the air conditioning.   This way I had a choice not to use the later and still stay cool in the room.  The breakfast buffet is excellent with a large choice of diverse dishes - both local, Western and also some Oriental.   Overally it is a good hotel for those, who want to stay in a place which is differnet from the modern Western style business hotels.",4
57,"Beautiful old colonial hotels. Great facilities, lovely big pool. Nice pool bar and Cuban restaurant. Drinks quite pricey compared to other hotels we stayed at in Sri Lanka.
Huge bedroom.",4
58,Silly light system all controlled from a key pad that you canât see in the night! Difficult to find a light switch to actually turn on! Air con was also difficult to use and so our room hot overnight.,3
59,"The ambience of the historic past, the building, the rooms, the location - all great",4
60,"Many groups of tourists, and the fact that the hotel misses a few âyoungerâ propositions - Cuban bar a good start... terrace area, long room can do with more of the same.... how can you make the hotel more interesting for younger  clientele?!
",3
61,"Again an old colonial style hotel . Rooms we stayed in were tired and a bit rough around the edges, I believe they are in the process of updating the rooms.With tax and service charge added on , prices for drinks, spa treatments and food were similar to western hotel prices. Nice salt water pool.Pool bar area good for watching sunsets, Sri Lankan piper announces sunset , and sri lankan flag  lowered overnight.Good breakfast buffets.",4
62,"Some mildew and fungus on wood in bathroom ,  manager told us  he would move us, but hotel full . Didn""t here any more from him and remained in same room. However they did scrape above off the wood !",3
63,"There was a fantastic welcome as we arrived in the morning the staff went out of their way to get our room ready earlier so we didn't have to wait until check in. Everyone was very friendly and provided fantastic customer service, nothing was too much trouble. Thank you for making the start of my holiday in Sri Lanka one to remember.",5
64,"With a short notice, the hotel arrange to send me a vehicle to the airport to pick me up.",4
65,"In the check-in, the staff in the front desk assigned me  a room which is less than what I paid for.Upon bringing this issue to management, I was giving the right one.",4
66,Swimming pool and restaurants The Verandah and the Cuban by the sea,4
67,"Room was on 4th floor in one corner facing a tower with a soldier with weapon. It was big but old, bathroom had a leak. Old room old aisle.",3
68,Fantastic historic hotel. First class accommodation.  Pillows / bed great. View of property & ocean sensational. Breakfast buffet very nice.  Staff plentiful. Pool excellent.  Cheap tuk tuk to markets or shops in Colombo.,4
69,Canât think of any.,3
70,On the seafront but unable to swim in the sea.  Very efficient and friendly staff. Ok location. Access to many local hotel restaurants.  Complementary soft drinks and snacksin the room fridge. Hotel Cuban bar lively with good cocktails. 30m swimming pool with salt water. Spa and gym facilities good.,4
71,"No view from our room. Lots of building projects nearby, but this did not affect our hotel stay.",5
72,"Colonial grandeur - a delight to stay in this beautiful heritage building with such a rich history. Gin and tonic on the beachfront, a swim in the pool and a Sri Lankan curry buffet for dinner. Heaven! I never opened a door the whole time I stayed there. Staff were very attentive and friendly.",4
73,There was not a single thing to complain about.,5
74,"The staff were great, nothing was a problem. The breakfast is fantastic. The pool is clean and amazing spot for watching the sunset ",5
75,The lunch wasnât great ,5
76,"A historical and traditional hotel, beautiful place and wondelful property. The renovation is made very well, they have not destroyed the feeling of the palace. The room was big and well equipped. The staff is professional. We got very good dinners in the special restaurants and the selection of wines is huge.",5
77,"We had to wait more than half an hour before we got the room even that we arrived after 2 in the afternoon. They just forgot us sitting on the sofa. The buffetrestaurant is too big and restless, it was not nice to have at least breakfast there.",4
78,"We were very impressed with the check-in service. We arrived slightly early and were able to check-in after a short wait. The hotel is beautiful, in a perfect sea-front location and feels like stepping back into a long-gone colonial era. The room (junior suite) was beautifully appointed with two sea-view balconies, a feature jacuzzi bath and very comfortable bed.",5
79,"Unfortunately we were disappointed by the restaurant experience. We were staying at the hotel to mark a special occasion and I had made a dinner reservation at the Verandah at the time of booking. Upon arriving at the restaurant we were informed that it was buffet only that night (no a la carte) due to a private function in another restaurant. I felt the hotel could have communicated this at the time of booking, which would have given me the opportunity to make alternative arrangements. It also created issues for bathroom use as the usual bathrooms were off limits due to the private function, so we had to go up to L1 for the bathroom, which caused a further inconvenience to us and was disruptive to our special dinner. I felt the hotel prioritized the private function at the expense of other guests' experience, and I have to say this is not what I expected from this hotel. In addition, the buffet itself was not great, so what was supposed to be a special evening was a disappointment.",3
80,Love the location by the sea. Friendly staff. Amazing breakfast buffet.  Great massage at the spa.,5
81,Was offered a rubbish room with noisy road outside. I was upgraded after a little time so it worked out ok in the end.,3
82,"This beautiful, stylish hotel had no faults in my opinion; the restaurants and bars are diverse and excellent, the staff are charming and helpful, the building is magnificent  and even the small museum (housing, aming other things The Duke of Edinburgh's first ever car!). The museum also lists some of the previous guests at the hotel, including Cole Porter, Mark Twain, Noel Coward, Laurenve Olivier, Duke Ellington and Scarlett Johansson.  There's not much to be said for Colombo, so it's just as well that you feel like hanging around the hotel all day!",4
83,"We came in late desk duty were very curtious and efficient, bell staff were the same and then on top of that we were upgraded to a sea view suite wonderful way to wake up in the morning.Thankyou",5
84,Old colonial style atmosphere. Bedroom comfortable and beautiful.,5
85,"No view whatsoever from bedroom.Slow service in bar area during lunch time. Quality of food served during the various buffet services and the seating ambiance of the restaurant could be much better.",4
86,Despite being a large hotel the staff still make it feel very friendly. The fact that the hotel has its own seafront and has retained its sense of its history makes it feel quite special.  The hotel catering was excellent.,4
87,"The best hotel in Colombo, and probably in all  Sri Lanka
Colonial atmosphere,  perfect service, and excellent breakfast",4
88,Cost much more than the alternatives,5
89,"The bathroom was perfect, the room very comfortable, even had views. The pool and pool area was wonderful.",5
90,Breakfast not included. Otherwise there was nothing to not like!,4
91,Airport pick up service was excellent.  Beautiful breakfast on the veranda. Tried the Siri Lankan specialities.   Had great tea with pastries.,5
92,Our stay was to short.,5
93,"This hotel is over 150 years old and it is well reflected in the overal ambience.  For travellers who like hotels with the difference, it is a very pleasant experience.   Even a tour around the hotel is like sightseeing.   I also liked the location.  Right by the sea [althought the beach is not large], a great position to watch sunsets.  It is also close to a busy city promenade where you can immerse yourself in Colombo's life, so different from the slightly posh atmosphere of the hotel.Breakfast it very good.  A wide range - local and European food.  Very fresh and tasty.  Meals are served on the verandah which allows to feel the warmth and sea breeze.   Hotel has few bars, including a latino bar with life music.  The rooms have fans as well as air conditioners.  Fans are bit noisy sometimes, but for those who can't stand air conditioning this is a good alternative.  Staff is very helpful and patient.  Like everywhere in Sri Lanka.  Overall, definitely a very pleasant experience.",4
94,Sometimes I felt I was getting too much attention.   But this is just a cultural difference :),5
95,"Beautiful historical hotel that has been well maintained. The location, staff, facilities (especially the pool) were all fantastic and deserving of the 5 star rating. Thank you for such a wonderful stay. ",5
96,Nothing! ,5
97,"Galle Face Hotel is one of the iconic hotels of the past and lives up to its reputation. Compares to Raffles, Eastern & Oriental and Peninsular hotels.",5
98,My only criticism is that Colombo itself does not provide enough interest to support a lengthy stay at the hotel.,1
99,"Everything youâd expect to find in an historic hotel like this. Staff amazing, great facilities, room well presented and restaurants/bar good too. Enjoyed our stay!",5
100,"Unfortunately some ants had made there way into the mini bar, but this was quickly rectified by house keeping and the contents replaced (so not really an issue). ",3
101,"Iâm struggling to think of positives. The hotel was ok, nothing special stands out.",3
102,"The waiting staff were sometimes attentive and other times completely ignored you. It was really hit and miss. We stayed in 8 other hotels during our tour of Sri Lanka and experienced far better service elsewhere.
The food is overpriced and mediocre. Again we had much better food elsewhere on our Sri Lankan travels for less than half the price.
The pool is small for a hotel of this size and there are not enough sun beds.
The room appeared clean at first glance, but look again and you can see that the rug hadnât been hovered etc.
We could also hear noises from outside which disturbed our sleep.
We will look to book elsewhere next time we are in Colombo and I would advise you do the same. I couldnât recommend this hotel.",2
103,"Great location by the water, equipped with a gym, spa and pool.  Love the Veranda area! Love the breakfast spread! Service with a smile! ",5
104,If staying during the week of national day beware of parade and celebrations that result in road blocks in the morning til lunch time.  If you arrange for driver I find they themselves along with hotel do lot know how bad traffic will be or when Road will clear.,4
105,Very grand hotel. Historical features still in place. Good selection of bars and restaurants on site. Nice pool size which was not over crowded. Staff were attentive and well mannered.,4
106,"Noise from room above very loud due to wooden flooring and furniture if moved above and also noise in corridor travels very far. Room was small, basic and in need of a touch up especially considering the grandeur of the hotel.",4
107,"This is an historic and elegant hotel which is fully updated while retaining much of its historic character. It is in a stunning position right on the coast.  The staff are plentiful and accommodating, food is good and there are a number of restaurants to choose from, breakfast was an extensive buffet featuring european and Sri Lankan dishes.  We used the hotel three times as a base in Colombo on our trip and would use it again",4
108,"One of the rooms we stayed in, while having great views, was situated above a bar which played music late at night.  On the plus side, when we complained to the management about our disturbed night, they acted promptly to ensure that we were given a quiet room for our next night at the hotel.",4
109,Very good breakfast buffet. Helpful smiling staff. Good location. Easy to get passing taxis and tuk tuks. Interesting little museum with Prince Phillip's car. Attractive general areas.,4
110,Awful bare unattractive small room. Only one bedside light. Basic overhead shower. No bath. Tiny bottles of cheap shampoo etc. Room not cleaned by 4 pm so just obtained replacement towels from passing cleaner. Towels thin and frayed.  Bar food was served cold and soggy,2
111,All the magnificence of a grand colonial hotel. This property is well maintained with modern facilities but retains its grandeur & elegance.,5
112,Gluten Free bread was disappointing.,3
113,the breakfast spread was vast and really good! the view from the pool-side bar & dining is simply spectacular,5
114,"floor boards were creaking :) it was charming for us, not sure about the neighbors on the below floor!",5
115,Fantastic old hotel in excellent location. Comfortable bed in lovely large room. Overall the hotel seems caught between being an axclusive first class hotel and a mass market offer. Loved the sea views and the history of the place. Sense of fading grandeur.,4
116,Air conditioning in room could not be adjusted. Very noisy and much too cold. Bathroom ok but in need if upgrade to be first class. The hotel falls between premier and mass market. It would need an upgrade to be the former but is too expensive to work as the latter.,3
117,"Bar and restaurants were excellent,  especially the Cuban bar.  The love music the was fantastic!!",5
118,"Rooms were a bit dated, but designed to look authentic for time period. ",3
119,"Great food, good service, lovely historical feel of the hotel.Pool and location cannot be better!",4
120,"We had a very annoying check-in at 1am in the morning (room not ready and had to wait until 2am) - however, manager apologized next day",3
121,amazing views/location and front of house facilities - Restaurant/breakfast on site - Simply stunning !,5
122,The bedrooms ! very ol/tired and in need of a refresh,3
123,Iâve stayed there several times and always loved the old colonial style and rated it v highly . Vg cocktails and staff too,5
124,"Since last year I feel it had gone down hill . They kindly upgraded my room so no complaints but glad only there one night as view over back and roof tops and room nothing to pontificate about , so no major advantage ,whereas before I had a view over sea, front and Galle face green. Also little things like soap dish chipped in bathroom, lighting not great. Breakfast buffet deteriorated , choice more limited and had run out of emmental cheese which one doesnât expect of hotel of this calibre No idea about dinner buffet . Dined at Cuban restaurant instead but sad seaspray had gone. Overall seems a bit scruffy compared to my previous stays.",3
125,"The ambience of this place and the attention to detail was extraordinary. The Royal Dutch suite was truly luxurious with views over the water, and the complimentary chocolates to recognise wedding anniversary, as well as upgrade to access pre-dinner champagne and canapes in the Long Room, while watching a beautiful sunset was truly memorable. The swimming pool and pool service was second to none. The Library is well worth a visit too. Wished we could have stayed longer...",5
126,Nothing at all.,5
127,"Pleasant dinning, great staff, good location. Good live band one night.",4
128,"Paid for a deluxe queen room. Room was small,view of a dirty ally-way,and showed its age.,",1
129,"Colonial history, design and location. Cuban restaurant was excellent and great fun with excellent staff",5
130,"The evening we were there there was a major corporate event which dominated the main ding area and bar area. The majority of the terrace was closed to residents and the music was over bearing and far too intrusive.It is quite simply that paying guest enjoyment should be compromised in this way. We should have been warned and the room rate reduced as we were unable to use all the facilities advertised and the event took over the whole outside area.The outside bar area lacks atmosphere and just doesn't feel right when it should be brilliant. More thought is needed on the detail to create a truly colonial feel.I do not think buffet service for Dinner in the main terrace restaurant is what one expects of a international hotel. Bit like being at a Club Med resort.",3
131,"We had a wonderful stay in the Galle Face during pre-christmas time. A fantastic feeling in the traditional house. Scenic view, friendly staff and beautiful colonial style decoration. Love it!",5
132,"The room was a bit oldish decorated for such a traditional house it is a pitty. The food was average, with a bit too much Sri Lankan taste.",3
133,"The location of the landmark hotel is brilliant. as well as the history. The management is there poor. Rather uncomfortable for the lady travellers. No personal touch, no guest relation appointed managers we met. no welcome we have experienced. as much as we regret.",4
134,Location is brilliant as well as an atmosphere of the landmark hotel and the ambience. When service is missing....,5
135,The old world charm but still new looking.,5
136,I booked through booking.com. Reception somehow missed that I had alreadypaid for 2 of the 3 rooms Iâd booked and accidentally charged twice for one room. This could have easily been avoided if record keeping was done well. There was unnecessary hassle caused at check out.,4
137,Gorgeous heritage property thar takes you back in time. Delightfully luxurious as well and stunning location.,5
138,Canât think of anything other than a temporary mix up about our booking at check in. Communications between booking.com and the hotel shouldâve been clearer and more prompt.,5
139,Excellent location very comfortable and clean. Staff very accommodating. Colonial Architecture just Brilliant. Loved breakfast on the veranda. Drinks in the Evening at the alfresco Cuban bar a must .,5
140,Air conditioning wasnât working properly in our room however the technicians fixed the problem almost immediately.,4
141,Fabulous location and a very comfortable and stylish hotel.  Works as a place to relax as well as visit the city.,4
142,"The reception desk were a bit unwelcoming - it was sunset and the hotel has a tradition of 'piping' down the sun which is fun to view.  Our receptionist messed around and never said 'welcome' and we pretty much missed it.  Poor training for a hotel of such quality, but I stress that wasnt true of all the reception staff.",4
143,"Location - you can walk nearly to every landmark in the city. 
The swimming pool nearly at the beach. 
Choice of restaurants and bars (yet the speed of service could be improved, especiallly at King of the Mambo!)
Friendly and helpfull staff!
You should try the spa offer, especially the massage (ask for firm tratment and leave really relaxed)",5
144,"Room was rather loud, mainly due to not sound proofed doors, with a lot of noises coming from the corridor - source were guests but also housekeeping employees, active early morning (6-8 AM) - we couldnât sleep well
Bad smell as a result of humidity (in the room and some of the public spaces)
The price of airport pick-up / drop-off servcie is above average (even comparing to the Blacklane package of comparable car standard)",3
145,"Location is very central and unique as the garden is directly on the seafront (most other main hotels are separated by the main road). The swimming pool is spacious (40 m) & uses sea water. Direct view of sunset. 
Breakfast spread is varied and well presented. The common areas have maintained some of the original style of this historic hotel. Excellent clean & modern gym. ",4
146,Rooms Are a bit dated and would need an upgrade. Wooden floors tend to be noisy despite carpet flooring. ,3
147,Manager was not welcoming or service-oriented when receiving us at the hotel and discussing the room rates. Not the gracious service typical of 5 star properties.,5
148,"Facilities and decoration transport you to the early 20th century. Pool, restaurant and bars are well decorated and are perfect to spend days, weeks, months",5
149,"Elevators on the back section could be better maintained. Other than that, thereâs nothing else I didnât like",1
150,"Beautiful Colonial-era building, everything was immaculate and food was excellent. The whole look, feel and atmosphere was wonderful. Rooms are decorated in keeping with the era. Service is top class.",5
151,Room rate was fairly high but it was peak Christmas & New Year season so to be expected I suppose.,4
152,Right on the sea front. The building holds so many historical features and it is beautiful.,4
153,The meals and drinks menu is not clear about tax not being included so final bill almost doubles.,3
154,Good terrace overlooking the water for food and cocktails,4
155,Wasnât allocated the room I requested. The room smelled of damp and little concern showed by staff to resolve. Eventually I was moved but not without a fight which was a real shame.,2
156,Property itself was beautiful and the staff very nice,5
157,"Taxes are not included in the room rate or any of the menus, when booking this should be clearer as was much more expensive than advertised. ",2
158,"The location is great, easy to walk to the old Dutch hospital development, or the shops at Crescat. A short tuk tuk ride to Barefoot, Paradise Rd and The Gallery Cafe.",5
159,Nothing.,5
160,"itâs a beautiful old hotel and fun. With lots of friendly efficient staff. Chanaka on reception particularly helpful. I needed him to print a contract, to sign and then them to scan it back to me... which they did without fuss and very quickly ð",4
161,"Nothing.. itâs a beautiful old hotel and fun. With lots of friendly efficient staff. Chanaka on reception particularly helpful. I needed him to print a contract, to sign and then them to scan it back to me... which they did without fuss and very quickly ð",4
162,"A wonderful historical experience. Charming and elegant. The real Surprise was the King of Mambo downstairs and outside on the lawn. It is a must for any visitor. great atmosphere, food and setting, and lounges.",5
163,nothing,5
164,Good hotel for our short stay in Colombo. Great location as very close to local Laksalas for shopping and to other tourist spots.,4
165,Room was not well-lit,4
166,A nostalgic visit had not been to Galle Face since 1959/60 or thereabouts. The resident historian gave a run down on the changes since then. ,4
167,Nothing to say all good,4
168,"It is  a great hotel. The service, the staff, the look and fell...  Everything is simply excellent.",5
169,"The only downside is that it is fits for couples. If the staying is surfing purposes, I would not recommend stay there (especially with kids - the hotel doesn't fit for kids).If you have honeymoon or just want to relax as a couple, this is exactly the place to do so!!!",4
170,"Beautiful setting, traditional colonial style really enjoyed our stay. Food and drink reasonably priced for this star hotel. We were upgraded to a suite which was amazing.",5
171,"Dirty bath, black bits in water when Jacuzzi was used ",2
172,"The hotel's charm is unparalleled. The location is unbeatable. Old world hospitality, lovely nooks and crannies across the property and lovingly preserved traditions. Great front desk experience.",5
173,"Still scope for improvement in housekeeping services, room upkeep. Hotel cab rates are way above normally paid around Colombo. Tighter management overall will help.",3
174,Great location and colonial vibe,4
175,Food at beach bar was very average. Chicken satay served undercooked and slightly pink. Staff very helpful and ordered again but still under cooked.,3
176,"The heritage hotel is a realGem. Loved aperil spritz on the verandah viwwimng the sunset and the taking down of the flag with bagpipes in tow. Truly moving",5
177,Nothing,5
178,"1. All extra comfy!2. Scent of the hotel!3. staff always brings you in person when you are lost! 4. Hotel car always ready in a span of short call 5. Concierge really looks after your messages6. All smile happy staff7. Relax environment8. Management runs towards you when there is an issue not run away fromyou9. The old wood floor10.  The black and white photos in the museum who visited the hotel since it opened.  Including so many royal families and politicians and US presidents and James Bond actors 11.  Sunset ceremony12. the breeze",5
179,"additional telephone for bigger rooms and I have to run to answer the phone.  If I was sleeping, I cannot go back to sleep coz I had to answer the door or the phone by the time I go back to bed I am awake!  Need Chargers at the bar!  Sound system improvement and spa needs improvement",2
180,"Has so much potential to be a great hotel. However the building is run down, customer service staff have very little concept on what they are doing and at times rude and unhelpful. Food selection in restaurants was poor. Seems to cater for a primarily middle age British holiday maker demographic with pre purchased holiday packages.Also had an awful experience with some missing jewellery that had been delivered for us from another hotel. Galle Face have refused to accept any responsibility for this despite it going missing whilst in their care. We will pursuing this legally.",2
181,The British Raj at its absoloute best.,5
182,"It didn't bother us but seeing as a question about the beach appeared, you couldn't bathe, but it was no issue at all to us as the pool was magnificent",4
183,"Location, historic building and staff",5
184,Room description on booking.com differed to hotel website. We were moved after 2 days but made to feel as if we were complaining when we actually only wanted the suite we thought we had booked.,1
185,Itâs got great character and the restaurant is very good with good variety of evening meals. Breakfast was ok. Staff are fantastic. Beds are very comfy. Great location to go walking and exploring. Plenty of tuktuks outside if you want to go anywhere.,4
186,Itâs an old building so you can hear people moving around on the floor above which can wake you up. Room smelt a little musty or damp but nothing major. ,1
187,"Beautiful historic building. Wonderful dining. Buffet at breakfast was a great variety and huge buffet. English, Sri Lankan and to order eggs any style. Nice drink selection and pool. Wonderful place to recover during an extended journey. ",4
188,Our room was noisy from a wedding below us. (They moved us immediately no problem. Very service oriented). ,4
189,The staff were very kind to us when we arrived very early in the morning after a long flight and found us a room to occupy by mid morning at no extra cost.,3
190,Nothing at all.,5
191,"Loved the Long room for canapÃ©s and drinks in the evening. Breakfast was amazing. The staff could not have been more helpful. We had suites on the fourth floor overlooking the ocean, they were very quiet rooms.",5
192,Everything. Itâs a lovely colonial style hotel. With seniority and elegance. The Cuban bar is great. I will definitely repeat if I go back to Colombo.,5
193,"Nothing, everything was great",5
194,"We liked the Genius Loci of this place, the proffessional service, great breakfast, possition, the pool, lobby and the bar.",5
195,"We believe that the superior room we had needs refurbishing, it is quite worn out for a 5 star superior room",2
196,Classic old colonial feel. Really nice bar/terrace area,5
197,Rooms are old fashioned - not necessarily a criticism but some people might want a more modern bathroom etc,4
198,"Friendly, courteous and helpful staff. Excellent choice of food in Verandah restaurant. Breakfast was superb and bar snacks were delicious.  Good choices for dinner.Room very comfortable and fresh fruit offered along with free non alcoholic drinks in fridge",5
199,Nice grounds and beautiful old building.  In general staff extremely nice.  Buffet breakfast and lunch were very good.,5
200,"Booked connecting rooms 8 months in advance, upon arrival we were told the interconnecting rooms are small and unsuitable, ended up in two separate rooms and had to split our young children between rooms.  If theyâd told me that 8 months in advance I would have cancelled the booking.  Ended up being a disaster of a two night stay and they didnât seem to care at all.  Rooms are old and tired with archaic control systems.  Staff were nice but service was agonisingly slow even by Sri Lankan standards.  Terrible value for money compared to other hotels in the city, youâre paying for the history of the place more than anything else.",2
201,For historians a delight this old and famous hotel. Some of the rituals (such as an unusual ceremony every sunset) were very enjoyable.,5
202,"The rooms' bathroom needed some maintenance, but upon return to the hotel some days later all were very apologetic and a free upgrade was granted.",4
